solver,preconditioner,N,error,time
conjugate_gradient,none,10,2.0335583911026998,0.0032329559326171875
conjugate_gradient,none,20,2.0082654169662284,0.00362396240234375
conjugate_gradient,none,40,2.00205870676454,0.008365154266357422
conjugate_gradient,jacobi,10,2.0335583911026998,0.0036170482635498047
conjugate_gradient,jacobi,20,2.0082654169662284,0.004311084747314453
conjugate_gradient,jacobi,40,2.00205870676454,0.007174253463745117
conjugate_gradient,incomplete_cholesky,10,2.0335583911026998,0.0028908252716064453
conjugate_gradient,incomplete_cholesky,20,2.0082654169662284,0.004323720932006836
conjugate_gradient,incomplete_cholesky,40,2.00205870676454,0.007181882858276367
